union_type,union_name,union_location,union_members,union_detail_href
AFGE,GOVERNMENT EMPLOYEES Local 1208,SANGER, CA 936579737,49,http://www.unions.org/unions/american-federation-of-government-employees/local-1208/18740
AFGE,GOVERNMENT EMPLOYEES Local 2003,100 E ALVIN DRSALINAS, CA 939062404,175,http://www.unions.org/unions/american-federation-of-government-employees/local-2003/6229
AFGE,GOVERNMENT EMPLOYEES Local 2275,450 GOLDEN GATE AVENUESAN FRANCISCO, CA 941023401,56,http://www.unions.org/unions/american-federation-of-government-employees/local-2275/10740
AFGE,GOVERNMENT EMPLOYEES Local 2110,3801 MIRANDA AVE   #11PALO ALTO, CA 943041207,1302,http://www.unions.org/unions/american-federation-of-government-employees/local-2110/7217
AFGE,GOVERNMENT EMPLOYEES Local 1764,T.A.F.B., CA 945350566,676,http://www.unions.org/unions/american-federation-of-government-employees/local-1764/10731
AFGE,GOVERNMENT EMPLOYEES Local 3584,5701 8TH ST CAMP PARKSDUBLIN, CA 94568,148,http://www.unions.org/unions/american-federation-of-government-employees/local-3584/18414
AFGE,GOVERNMENT EMPLOYEES Local 1533,OAKLAND, CA 94612,12,http://www.unions.org/unions/american-federation-of-government-employees/local-1533/5590
AFGE,GOVERNMENT EMPLOYEES Local 1159,FEDERAL BUILDING 1301 CLAY ST.OAKLAND, CA 946125209,77,http://www.unions.org/unions/american-federation-of-government-employees/local-1159/18223
AFGE,GOVERNMENT EMPLOYEES Local 1242,1 FEDERAL WAYATWATER, CA 95301,233,http://www.unions.org/unions/american-federation-of-government-employees/local-1242/6196
AFGE,GOVERNMENT EMPLOYEES Local 1546,LATHROP, CA 953300432,1200,http://www.unions.org/unions/american-federation-of-government-employees/local-1546/9526
AFGE,GOVERNMENT EMPLOYEES Local 988,551 SIR LANCELOT COURTTRACY, CA 953761429,104,http://www.unions.org/unions/american-federation-of-government-employees/local-988/1270
AFGE,GOVERNMENT EMPLOYEES Local 1206,Rancho Cordova, CA 95741,588,http://www.unions.org/unions/american-federation-of-government-employees/local-1206/15914
AFGE,GOVERNMENT EMPLOYEES Local 1616,SACRAMENTO, CA 95812,159,http://www.unions.org/unions/american-federation-of-government-employees/local-1616/18386
AFGE,GOVERNMENT EMPLOYEES Local 2025,Beale Afb, AL 959039177,80,http://www.unions.org/unions/american-federation-of-government-employees/local-2025/17436
AFM,MUSICIANS Local 6,116 NINTH STREETSAN FRANCISCO, CA 941032603,1663,http://www.unions.org/unions/american-federation-of-musicians/local-6/12793
AFM,MUSICIANS,116 NINTH STSAN FRANCISCO, CA 941032603,13750,http://www.unions.org/unions/american-federation-of-musicians/local-0/15432
AFM,MUSICIANS Local 424,2854 JORDAN WAYPINOLE, CA 94564,70,http://www.unions.org/unions/american-federation-of-musicians/local-424/16147
AFM,MUSICIANS Local 367,600 NEBRASKA STREETVALLEJO, CA 945903835,26,http://www.unions.org/unions/american-federation-of-musicians/local-367/12592
AFM,MUSICIANS Local 153,2102 ALMADEN ROAD SUITE 112SAN JOSE, CA 95125,521,http://www.unions.org/unions/american-federation-of-musicians/local-153/3968
AFM,MUSICIANS Local 189,211 E MARCH LANE, SUITE J1STOCKTON, CA 95207,150,http://www.unions.org/unions/american-federation-of-musicians/local-189/6305
AFM,MUSICIANS Local 12,8175 ALPINE AVE. SUITE GSACRAMENTO, CA 958264726,423,http://www.unions.org/unions/american-federation-of-musicians/local-12/13470
AFSCME,STATE COUNTY & MUNI EMPLS Local 829,1301 SHOREWAY RD. STE. 155BELMONT, CA 940024151,3370,http://www.unions.org/unions/american-federation-of-state,-county,-and-municipal-employees/local-829/16137
AFSCME,STATE COUNTY & MUNI EMPLS Local 101,1150 N 1ST ST #101SAN JOSE, CA 951124923,3113,http://www.unions.org/unions/american-federation-of-state,-county,-and-municipal-employees/local-101/14681
AFT,TEACHERS Local 4269,UNIVERSITY OF SAN FRANCISCOSAN FRANCISCO, CA 941171080,379,http://www.unions.org/unions/american-federation-of-teachers/local-4269/8001
AFTRA,TV & RADIO ARTISTS AAAA,350 SANSOME STREETSAN FRANCISCO, CA 941041304,1751,http://www.unions.org/unions/american-federation-of-television-and-radio-artists/local-0/8191
APWU,POSTAL WORKERS, AMERICAN, Local 6159,DALY CITY, CA 940172234,21,http://www.unions.org/unions/american-postal-workers-union/local-6159/4069
APWU,POSTAL WORKERS, AMERICAN, Local 2,1239 HOWARD STREETSAN FRANCISCO, CA 94103,1561,http://www.unions.org/unions/american-postal-workers-union/local-2/12219
APWU,POSTAL WORKERS, AMERICAN, Local 6669,SAN MATEO, CA 944020092,162,http://www.unions.org/unions/american-postal-workers-union/local-6669/6633
APWU,POSTAL WORKERS, AMERICAN, Local 47,2116 N. MAIN STREETWALNUT CREEK, CA 945963796,939,http://www.unions.org/unions/american-postal-workers-union/local-47/13496
APWU,POSTAL WORKERS, AMERICAN, Local 78,7700 EDGEWATER DRIVE #656OAKLAND, CA 946213022,1014,http://www.unions.org/unions/american-postal-workers-union/local-78/11750
APWU,POSTAL WORKERS, AMERICAN, Local 73,1885 Lundy Ave Suite 280San Jose, CA 951311889,656,http://www.unions.org/unions/american-postal-workers-union/local-73/13156
APWU,POSTAL WORKERS, AMERICAN, Local 320,2027 GRAND CANAL BLVD., #30STOCKTON, CA 95207,254,http://www.unions.org/unions/american-postal-workers-union/local-320/5833
APWU,POSTAL WORKERS, AMERICAN, Local 1071,MERCEO, CA 95344,11,http://www.unions.org/unions/american-postal-workers-union/local-1071/17998
APWU,POSTAL WORKERS, AMERICAN, Local 635,1100 CARVER RD #CMODESTO, CA 95350,188,http://www.unions.org/unions/american-postal-workers-union/local-635/10831
APWU,POSTAL WORKERS, AMERICAN, Local 1465,781 S. WASHINGTON STSONORA, CA 953700000,5,http://www.unions.org/unions/american-postal-workers-union/local-1465/15542
APWU,POSTAL WORKERS, AMERICAN, Local 66,5301 Madison Ave Suite 202Sacramento, CA 95841,1552,http://www.unions.org/unions/american-postal-workers-union/local-66/12752
APWU,POSTAL WORKERS, AMERICAN, Local 211,MARYSVILLE, CA 959010006,110,http://www.unions.org/unions/american-postal-workers-union/local-211/4401
APWU,POSTAL WORKERS, AMERICAN, Local 6792,TAHOE CITY, CA 961450000,8,http://www.unions.org/unions/american-postal-workers-union/local-6792/10625
ATU,TRANSIT UNION Local 1574,1153 CHESS DR. #203FOSTER CITY, CA 94404,519,http://www.unions.org/unions/amalgamated-transit-union/local-1574/11187
ATU,TRANSIT UNION Local 1605,1333 PINE STREET SUITE GMARTINEZ, CA 945531865,270,http://www.unions.org/unions/amalgamated-transit-union/local-1605/10793
ATU,TRANSIT UNION Local 192,8460 ENTERPRISE WAYOAKLAND, CA 956211318,2629,http://www.unions.org/unions/amalgamated-transit-union/local-192/14151
ATU,TRANSIT UNION Local 256,2776  21ST  STREETSACRAMENTO, CA 95818,1463,http://www.unions.org/unions/amalgamated-transit-union/local-256/13896
ATU,TRANSIT UNION,8331 FOYNES WAYSACRAMENTO, CA 958286156,12717,http://www.unions.org/unions/amalgamated-transit-union/local-0/13483
BAC,BRICKLAYERS Local 3,10806 BIGGE STREETSAN LEANDRO, CA 94577,2341,http://www.unions.org/unions/international-union-of-bricklayers-and-allied-craft-workers/local-3/14674
BBF,BOILERMAKERS Local 99,350 E LAUREL DR.SALINAS, CA 939063748,29,http://www.unions.org/unions/international-brotherhood-of-boilermakers/local-99/4433
BBF,BOILERMAKERS Local 549,2191 PIEDMONT WAYPITTSBURG, CA 94565,769,http://www.unions.org/unions/international-brotherhood-of-boilermakers/local-549/7934
BBF,BOILERMAKERS Local 6,2191 PIEDMONT WAYPITTSBURG, CA 94565,398,http://www.unions.org/unions/international-brotherhood-of-boilermakers/local-6/8576
BBF,BOILERMAKERS Local 46,135 MARINE VIEW AVEDAVENPORT, CA 950170234,76,http://www.unions.org/unions/international-brotherhood-of-boilermakers/local-46/8408
BBF,BOILERMAKERS Local 100,3263 FLINTMONT CT.SAN JOSE, CA 95148,25,http://www.unions.org/unions/international-brotherhood-of-boilermakers/local-100/18808
BCTD,BLDG & CONSTRN TRADES DEPT,1188 Franklin StreetSAN FRANCISCO, CA 94109,29,http://www.unions.org/unions/building-construction-trades-department/local-0/14162
BCTD,BLDG & CONSTRN TRADES DEPT,2540 NORTH WATNEY WAYFAIRFIELD, CA 94533,3500,http://www.unions.org/unions/building-construction-trades-department/local-0/665
BCTD,BLDG & CONSTRN TRADES DEPT,MARTINEZ, CA 94553,25,http://www.unions.org/unions/building-construction-trades-department/local-0/8060
